D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Глаголы\И.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Глаголы', 'file', 17464)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Глаголы\Й.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Глаголы', 'file', 641)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Глаголы\Т.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Глаголы', 'file', 145)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Глаголы\Ь.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Глаголы', 'file', 952620)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Глаголы\Я.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Глаголы', 'file', 400756)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Глаголы,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary', 'dir', 1371626)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\А.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 373124)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\Б.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 5494)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\В.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 13280)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\Г.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 15671)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\Д.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 27398)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\Е.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 159648)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\Ж.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 5726)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\З.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 15199)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\И.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 38660)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\Й.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 816067)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\К.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 186001)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\Л.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 21910)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\М.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 35966)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\Н.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 61644)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\О.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 85424)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\П.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 8841)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\Р.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 72119)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\С.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 26494)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\Т.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 90641)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\У.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 6106)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\Ф.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 5687)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\Х.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 7846)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\Ц.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 36469)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\Ч.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 4429)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\Ш.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 4703)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\Щ.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 315)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\Ы.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 18426)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\Ь.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 196622)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\Э.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 531)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\Ю.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 2178)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные\Я.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary\\Нарицательные', 'file', 120438)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Нарицательные,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary', 'dir', 2463057)|
D:\python\zalizniak-2010-master\zalizniak-2010-master\dictionary\Собственные.txt,|('D:\\python\\zalizniak-2010-master\\zalizniak-2010-master\\dictionary', 'file', 270672)|
