422,963,883
270,409,631
207,776,678
145,235,343
716,661,784
208,766,567
399,991,986
946,274,464
708,185,320
137,569,427
757,449,293
266,939,352
168,814,209
691,831,753
146,166,517
393,865,158
524,976,344
516,813,368
631,720,585
518,684,784
764,262,980
560,331,811
197,976,108
967,458,653
269,505,481
753,925,667
547,100,570
554,459,294
546,647,906
421,395,170
287,254,828
650,757,137
587,742,997
892,276,613
697,312,201
606,237,814
494,742,982
850,881,191
480,187,391
407,145,804
953,172,898
316,654,493
783,386,814
518,189,327
268,181,360
366,246,308
614,533,934
381,626,570
373,527,143
936,748,582
728,871,377
643,307,279
424,394,665
675,613,860
789,703,344
269,230,967
141,532,831
239,382,264
516,609,678
162,375,813
608,114,739
845,446,186
154,678,904
203,198,496
213,235,492
531,990,327
314,971,975
185,248,757
857,295,453
489,170,722
519,893,104
327,420,164
212,129,615
362,858,252
218,573,260
931,785,642
851,378,421
450,854,390
953,561,135
821,217,517
836,857,222
519,693,185
115,295,793
973,438,180
540,131,659
441,299,846
302,388,608
543,125,914
669,638,371
314,403,980
683,925,774
309,682,926
970,301,740
290,690,140
112,824,526
413,281,368
706,712,254
252,321,421
774,555,215
311,921,301
237,534,266
